tool,run_id,dx_um,dt_min,average_source,center_source,resolution_label,timestep,average_uM,center_uM
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.12,9.978038696856208,9.40704481511769
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.13,9.978038696856212,9.407044815117715
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.14,9.978038696856213,9.407044815117732
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.15,9.978038696856213,9.407044815117747
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.16,9.978038696856213,9.407044815117755
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.17,9.978038696856213,9.407044815117764
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.18,9.978038696856213,9.407044815117768
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.19,9.978038696856213,9.407044815117773
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.2,9.978038696856213,9.407044815117779
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.21,9.978038696856213,9.407044815117779
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.22,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.23,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.24,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.25,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.26,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.27,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.28,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.29,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.3,9.978038696856213,9.40704481511778
PhysiCell,PhysiCell_dx_20um_single_sink,20.0,0.01,mean over all voxels from microenvironment[4],single voxel nearest the origin from microenvironment[4],voxel size=20 um,1.31,9.978038696856213,9.40704481511778
