snap,conc_mean
640,9.988386257546301
641,9.988449576243392
642,9.988512245308577
643,9.988574271406897
644,9.988635661135014
645,9.988696421021901
646,9.988756557529557
647,9.988816077053677
648,9.988874985924337
649,9.988933290406667
650,9.988990996701524
651,9.989048110946145
652,9.989104639214796
653,9.989160587519423
654,9.989215961810299
655,9.989270767976638
656,9.989325011847239
657,9.989378699191098
658,9.989431835718024
659,9.989484427079242
660,9.989536478867995
661,9.98958799662015
662,9.98963898581477
663,9.989689451874703
664,9.989739400167167
665,9.989788836004307
666,9.989837764643772
667,9.989886191289264
668,9.989934121091103
669,9.989981559146765
670,9.990028510501421
671,9.990074980148492
672,9.990120973030157
673,9.990166494037899
674,9.990211548013004
675,9.990256139747103
676,9.990300273982653
677,9.990343955413461
678,9.990387188685174
679,9.990429978395783
680,9.990472329096091
681,9.990514245290226
682,9.990555731436096
683,9.990596791945876
684,9.99063743118647
685,9.99067765347998
686,9.990717463104167
687,9.990756864292901
688,9.990795861236613
689,9.990834458082745
690,9.990872658936182
691,9.990910467859699
692,9.990947888874384
693,9.990984925960076
694,9.99102158305577
695,9.991057864060064
696,9.991093772831547
697,9.991129313189218
698,9.991164488912903
699,9.991199303743638
700,9.99123376138409
701,9.991267865498926
702,9.991301619715218
703,9.991335027622828
704,9.991368092774781
705,9.991400818687659
706,9.99143320884195
707,9.991465266682452
708,9.991496995618608
709,9.991528399024876
710,9.991559480241108
711,9.99159024257288
712,9.991620689291855
713,9.991650823636133
714,9.991680648810586
715,9.991710167987215
716,9.991739384305466
717,9.991768300872582
718,9.991796920763923
719,9.9918252470233
720,9.991853282663294
721,9.991881030665578
722,9.991908493981231
723,9.991935675531058
724,9.991962578205895
725,9.991989204866924
726,9.992015558345965
727,9.992041641445791
728,9.992067456940411
729,9.992093007575384
730,9.992118296068094
731,9.992143325108042
732,9.992168097357146
733,9.99219261545
734,9.992216881994182
735,9.992240899570506
736,9.992264670733311
737,9.992288198010732
738,9.992311483904961
739,9.99233453089253
740,9.992357341424542
741,9.992379917926968
742,9.992402262800889
743,9.992424378422742
744,9.992446267144594
745,9.99246793129437
746,9.992489373176117
747,9.992510595070241
748,9.992531599233754
749,9.992552387900513
750,9.992572963281448
751,9.992593327564816
752,9.992613482916415
753,9.992633431479824
754,9.992653175376637
755,9.99267271670667
756,9.992692057548206
757,9.99271119995819
758,9.992730145972487
759,9.992748897606052
760,9.992767456853176
761,9.992785825687697
762,9.992804006063185
763,9.992821999913183
764,9.992839809151386
765,9.992857435671855
766,9.992874881349229
767,9.992892148038905
768,9.992909237577246
769,9.992926151781772
770,9.992942892451364
771,9.992959461366432
772,9.992975860289137
773,9.992992090963547
774,9.993008155115847
775,9.993024054454501
776,9.993039790670451
777,9.993055365437296
778,9.993070780411452
779,9.993086037232349
780,9.99310113752259
781,9.993116082888143
782,9.993130874918485
783,9.993145515186795
784,9.993160005250106
785,9.993174346649479
786,9.993188540910166
787,9.993202589541768
788,9.993216494038396
789,9.993230255878835
790,9.993243876526696
791,9.993257357430577
792,9.993270700024208
793,9.993283905726619
794,9.99329697594227
795,9.993309912061218
796,9.993322715459257
797,9.993335387498064
798,9.993347929525353
799,9.993360342874999
800,9.993372628867201
801,9.99338478880861
802,9.993396823992471
803,9.993408735698763
804,9.99342052519433
805,9.993432193733016
806,9.993443742555808
807,9.993455172890956
808,9.993466485954109
809,9.993477682948445
810,9.993488765064797
811,9.993499733481782
812,9.993510589365922
813,9.99352133387177
814,9.993531968142038
815,9.99354249330771
816,9.993552910488173
817,9.99356322079132
818,9.99357342531368
819,9.99358352514054
820,9.993593521346043
821,9.993603414993313
822,9.99361320713457
823,9.993622898811237
824,9.993632491054056
825,9.993641984883181
826,9.993651381308316
827,9.993660681328796
828,9.993669885933707
829,9.993678996101982
830,9.993688012802515
831,9.993696936994262
832,9.993705769626335
833,9.993714511638107
834,9.99372316395932
835,9.993731727510175
836,9.99374020320143
837,9.993748591934496
838,9.993756894601544
839,9.993765112085581
840,9.993773245260567
841,9.993781294991484
842,9.993789262134447
843,9.993797147536785
844,9.993804952037134
845,9.993812676465524
846,9.99382032164347
847,9.993827888384063
848,9.993835377492042
849,9.993842789763898
850,9.993850125987953
851,9.993857386944429
852,9.993864573405551
853,9.993871686135622
854,9.993878725891102
855,9.993885693420687
856,9.9938925894654
857,9.99389941475865
858,9.993906170026326
859,9.993912855986876
860,9.993919473351369
861,9.993926022823578
862,9.99393250510006
863,9.99393892087023
864,9.993945270816415
865,9.993951555613956
866,9.993957775931255
867,9.99396393242987
868,9.99397002576455
869,9.99397605658335
870,9.99398202552766
871,9.993987933232296
872,9.993993780325559
873,9.9939995674293
874,9.994005295159004
875,9.994010964123827
876,9.994016574926679
877,9.99402212816429
878,9.99402762442725
879,9.994033064300119
880,9.994038448361435
881,9.99404377718381
882,9.994049051333981
883,9.994054271372868
884,9.994059437855634
885,9.994064551331757
886,9.994069612345065
887,9.994074621433814
888,9.994079579130734
889,9.99408448596309
890,9.994089342452737
891,9.99409414911618
892,9.994098906464624
893,9.994103615004018
894,9.994108275235137
895,9.994112887653605
896,9.994117452749972
897,9.994121971009742
898,9.994126442913453
899,9.994130868936697
900,9.994135249550204
901,9.994139585219857
902,9.99414387640677
903,9.994148123567323
904,9.994152327153213
905,9.994156487611509
906,9.99416060538468
907,9.994164680910668
908,9.994168714622916
909,9.994172706950422
910,9.994176658317778
911,9.994180569145232
912,9.994184439848702
913,9.994188270839853
914,9.994192062526125
915,9.994195815310771
916,9.99419952959291
917,9.994203205767569
918,9.99420684422572
919,9.994210445354325
920,9.994214009536368
921,9.994217537150918
922,9.994221028573143
923,9.994224484174369
924,9.994227904322104
925,9.994231289380098
926,9.994234639708354
927,9.994237955663195
928,9.99424123759728
929,9.994244485859651
930,9.994247700795775
931,9.994250882747567
932,9.994254032053432
933,9.994257149048316
934,9.994260234063718
935,9.994263287427737
936,9.994266309465106
937,9.994269300497232
938,9.994272260842218
939,9.994275190814902
940,9.994278090726898
941,9.994280960886622
942,9.99428380159932
943,9.99428661316711
944,9.994289395889018
945,9.994292150060984
946,9.994294875975932
947,9.994297573923761
948,9.994300244191415
949,9.99430288706288
950,9.994305502819232
951,9.994308091738668
952,9.994310654096525
953,9.994313190165318
954,9.994315700214765
955,9.994318184511815
956,9.994320643320686
957,9.994323076902875
958,9.994325485517198
959,9.994327869419827
960,9.994330228864287
961,9.99433256410152
962,9.994334875379879
963,9.99433716294518
964,9.994339427040709
965,9.994341667907262
966,9.99434388578316
967,9.994346080904279
968,9.994348253504079
969,9.994350403813621
970,9.994352532061598
971,9.994354638474357
972,9.994356723275917
973,9.994358786688004
974,9.994360828930073
975,9.994362850219312
976,9.9943648507707
977,9.994366830796999
978,9.994368790508789
979,9.994370730114493
980,9.994372649820392
981,9.994374549830654
982,9.994376430347351
983,9.994378291570479
984,9.994380133697987
985,9.994381956925789
986,9.994383761447791
987,9.99438554745591
988,9.994387315140091
989,9.994389064688338
990,9.994390796286712
991,9.994392510119381
992,9.99439420636861
993,9.994395885214809
994,9.994397546836518
995,9.994399191410462
996,9.994400819111544
997,9.994402430112872
998,9.994404024585785
999,9.99440560269986
