center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3,center_concentration_uM,average_concentration_uM,absolute_error_uM,relative_error_percent
0.048441492652119784,6.322486973711347,3.185464233181733,3.185464233181733,3.185464233181733,4.963395888859654,9.520822720065981,4.576665528490669,12,7.01234172959546,96,4.576665528490669,7.89700506823806,5.255990630010931,4.578249608186881,6.5,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.140589023712339,9.784059559799667,0.26323683973368617,2.6904664482549006
0.04844112301796724,6.322432966947406,3.1854370449826863,3.1854370449826868,3.1854370449826863,4.963358187727121,9.520804689880517,4.5766289220179495,12,7.0122936658410575,96,4.57662892201795,7.896961755126379,5.255950484834976,4.578212993463205,6.6,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.140464922555106,9.784027540179414,0.2632228502988969,2.690332270815236
0.04844079678224285,6.322385294691019,3.185413045736631,3.185413045736631,3.185413045736631,4.963324910241954,9.520788776038236,4.5765966105331986,12,7.012251242859468,96,4.5765966105331986,7.896923525545843,5.255915050266009,4.578180674696569,6.7,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.14035294609984,9.78399864888059,0.26320987284235464,2.690207575534253
0.04844050884849013,6.322343214197126,3.185391861522808,3.1853918615228083,3.185391861522808,4.963295537420148,9.520774730109517,4.576568090185818,12,7.0122137986525,96,4.576568090185817,7.896889782843087,5.25588377362,4.578152147922513,6.8,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.1402519097610675,9.783972580265711,0.26319785015619424,2.6900918619402585
0.04844025471894489,6.322306069768147,3.185373162243546,3.185373162243546,3.185373162243546,4.963269611153857,9.520762332830186,4.57654291621924,12,7.012180748913008,96,4.57654291621924,7.896860000396464,5.255856167048097,4.578126968283995,6.9,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.140160744687629,9.783949058558242,0.26318672572805646,2.689984628424052
0.04844003042417058,6.322273282559825,3.185356656491998,3.185356656491998,3.185356656491998,4.963246727072696,9.520751390676924,4.576520696042485,12,7.012151577907311,96,4.576520696042485,7.8968337133956625,5.255831799932605,4.578104743101366,7.0,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.1400784864553035,9.783927834924922,0.263176444247998,2.689885378227726
0.04843983246096999,6.322244341579578,3.185342087020274,3.185342087020274,3.185342087020274,4.963226528241838,9.52074173284491,4.5765010831135955,12,7.0121258304276175,96,4.5765010831135955,7.896810511586318,5.255810292174457,4.578085125754433,7.1,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.140004264864344,9.783908684843585,0.26316695199867546,2.689793624161188
0.0484396577375986,6.322218795738062,3.1853292267378306,3.1853292267378306,3.1853292267378306,4.963208699598823,9.520733208580431,4.5764837715399285,12,7.012103104688864,96,4.5764837715399285,7.89679003286633,5.255791308267731,4.578067810281498,7.2,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.1399372947336515,9.783891405727971,0.26315819714753985,2.6897088922458208
0.04843950352541981,6.322196246830952,3.185317875178186,3.185317875178186,3.185317875178186,4.963192963042593,9.520725684826708,4.576468491311306,12,7.012083046059146,96,4.576468491311306,7.8967719576338995,5.2557745520689645,4.578052526611457,7.3,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.139876867594444,9.783875814784425,0.263150129957717,2.689630724462698
0.04843936741624436,6.322176343342217,3.1853078553792304,3.185307855379231,3.1853078553792304,4.963179073098296,9.520719044146203,4.576455004091951,12,7.01206534152593,96,4.57645500409195,7.896756003799001,5.255759762179866,4.578039036354753,7.4,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.139822344195483,9.783861747078266,0.263142702932063,2.6895586807596166
